Date,Task,Employee,Status
04/10/25,nigga (6:00 AM - 6:00 PM),cle,Removed
04/10/25,pogi ni don (6:00 AM - 6:00 PM),cle,Removed
04/10/25,qqq,dondon,Removed
04/10/25,pogs (6:00 AM - 6:00 PM),gagi,Removed
04/10/25,dddddd (6:00 AM - 6:00 PM),gagi,Removed
04/10/25,puta (6:00 AM - 6:00 PM),gagi,Removed
04/10/25,jasjd (6:00 AM - 6:00 PM),gagi,Removed
04/10/25,asdqwe (6:00 AM - 6:00 PM),gagi,Removed
04/12/25,dagat sa sabado (6:00 AM - 6:00 PM),novie,Removed
04/15/25,asdas (6:00 AM - 6:00 PM),test2,Removed
04/24/25,test (6:00 AM - 6:00 PM),qwe,Removed
04/24/25,das (6:00 AM - 6:00 PM),test2,Removed
04/30/25,rrew,dabol,Removed
04/30/25,eqweqwe,don123,Removed
04/30/25,ADDED,rod,Removed
05/07/25,dass (6:00 AM - 6:00 PM),dondon,Removed
05/09/25,dsadsad (7:00 AM - 11:00 AM),dondon,Removed
05/14/25,dassad (6:00 AM - 6:00 PM),dondon,Removed
05/15/25,dadsad (6:00 AM - 6:00 PM),dondon,Removed
05/20/25,Tara kape (6:00 AM - 6:00 PM),cle,Removed
05/20/25,napunit pants (6:00 AM - 6:00 PM),cle,Removed
05/20/25,dasdsa (6:00 AM - 6:00 PM),dondon,Removed
05/20/25,dassa (6:00 AM - 6:00 PM),dondon,Removed
05/21/25,akyat bahay mode (6:00 AM - 6:00 PM),cle,Removed
05/21/25,DDD,dondon,Removed
05/21/25,dasassdsad,dondon,Removed
05/21/25,dsasa,dondon,Removed
05/21/25,dsdsadss,dondon,Removed
05/21/25,saqq,dondon,Removed
05/21/25,Dhon,dondon,Removed
05/22/25,dsasa (6:00 AM - 6:00 PM),dondon,Removed
05/22/25,DGGH (8:00 AM - 12:00 PM),dondon,Removed
05/22/25,ISCENE,dondon,Removed
05/23/25,sadasdsa (6:00 AM - 6:00 PM),dondon,Removed
05/29/25,Pussy (6:00 AM - 6:00 PM),dondon,Removed
05/30/25,rarararara kape (6:00 AM - 6:00 PM),cle,Removed
05/30/25,That (8:00 AM - 12:00 PM),dondon,Removed
05/31/25,putata,dondon,Upcoming
05/28/25,Thiss (11:00 AM - 6:00 PM),dondon,Upcoming
