Date,Task,Employee,Status
04/04/25,1,dhon,Ongoing
04/04/25,ni,dhon,Ongoing
04/04/25,ma,dhon,Ongoing
04/04/25,mo,dhon,Ongoing
04/04/25,srtg,dhon,Ongoing
04/04/25,sryty,dhon,Ongoing
04/04/25,ysr,dhon,Ongoing
04/04/25,ty,dhon,Ongoing
04/04/25,tyy,puta,Ongoing
04/04/25,tryr,puta,Ongoing
04/04/25,rty,puta,Ongoing
04/04/25,rty,puta,Ongoing
04/04/25,rty,puta,Ongoing
04/04/25,hr,dhon,Ongoing
04/04/25,ad,dhon,Ongoing
04/01/25,popo,dhon,Done
04/30/25,nigga,dhon,Upcoming
04/17/25,123,dhon,Upcoming
04/02/25,12331,puta,Done
